episode,success_rate,avg_delay,avg_energy,timestamp
0,38.0,1.5230229769609627,0.1253758286268578,2026-05-18T15:21:27.001895
1,42.0,0.7723371116053519,0.0650037799331801,2026-05-18T15:21:27.019391
2,34.0,0.6742655044663536,0.04498528241279474,2026-05-18T15:21:27.037230
3,32.0,0.7388631548791394,0.052656799220252216,2026-05-18T15:21:27.051229
4,36.0,0.9960622071585499,0.0774785362839176,2026-05-18T15:21:27.065230
5,48.0,0.6868730205335721,0.05435425788193351,2026-05-18T15:21:27.079253
6,44.0,0.6211992822276189,0.04164502344850854,2026-05-18T15:21:27.085061
7,38.0,1.3611937447372398,0.09987409630938286,2026-05-18T15:21:27.101812
8,38.0,0.9848524332884385,0.07937921551188602,2026-05-18T15:21:27.118344
9,40.0,0.7531972246419385,0.05302273175361411,2026-05-18T15:21:27.134942
10,42.0,0.9652399006392869,0.08237438804235853,2026-05-18T15:21:27.150568
11,26.0,0.5604289590771498,0.034193614624707096,2026-05-18T15:21:27.151648
12,36.0,1.0989993585479902,0.07445566893100027,2026-05-18T15:21:27.177374
13,32.0,0.9778097124544033,0.07541708697237269,2026-05-18T15:21:27.188393
14,32.0,0.6888023678755999,0.050197409159697184,2026-05-18T15:21:27.201712
15,30.0,1.4380927399033672,0.10597253687829868,2026-05-18T15:21:27.218522
16,46.0,1.1797878286507877,0.07954251033555586,2026-05-18T15:21:27.218522
17,34.0,0.8147543363493202,0.06900381515443527,2026-05-18T15:21:27.235235
18,32.0,0.8025498130111977,0.05898764667861391,2026-05-18T15:21:27.260686
19,34.0,0.7202774210625955,0.05335023010332071,2026-05-18T15:21:27.274719
20,36.0,2.009035445283944,0.19792856287228747,2026-05-18T15:21:27.318434
21,36.0,1.0153460324117582,0.09508959625546659,2026-05-18T15:21:27.373972
22,50.0,0.7250068770017724,0.057901035645869944,2026-05-18T15:21:27.401726
23,68.0,0.8684097436768314,0.0671879880850735,2026-05-18T15:21:27.451902
24,72.0,0.8482253561689568,0.06482024035688588,2026-05-18T15:21:27.509705
25,80.0,0.4753474325866346,0.03412076881497021,2026-05-18T15:21:27.551791
26,66.0,0.6213186163960982,0.04610180110551827,2026-05-18T15:21:27.606389
27,66.0,0.5767050317980439,0.04403031713371425,2026-05-18T15:21:27.666490
28,64.0,0.543974804565523,0.038488134440899255,2026-05-18T15:21:27.702984
29,64.0,0.6237725973183583,0.04891538202999916,2026-05-18T15:21:27.760886
30,68.0,0.5978276970478943,0.0452233621173175,2026-05-18T15:21:27.818029
31,70.0,1.0167503590433937,0.07707501538332638,2026-05-18T15:21:27.868920
32,78.0,0.5885793430632263,0.0427031640987785,2026-05-18T15:21:27.928586
33,54.0,0.48900275939017623,0.03682531883449938,2026-05-18T15:21:27.991267
34,57.99999999999999,0.687369381194709,0.0545799672954858,2026-05-18T15:21:28.035605
35,52.0,0.7257426322936641,0.05210267816617423,2026-05-18T15:21:28.085265
36,72.0,0.6181057646873337,0.04705016600648972,2026-05-18T15:21:28.141686
37,66.0,0.79010227442307,0.06428141176125286,2026-05-18T15:21:28.190023
38,57.99999999999999,1.031039393304873,0.0822669494392267,2026-05-18T15:21:28.235718
39,66.0,0.7236947920709638,0.05379714739961395,2026-05-18T15:21:28.280576
40,74.0,0.771089969951651,0.060468725215147734,2026-05-18T15:21:28.326576
41,70.0,0.5390473495343273,0.04065568950093693,2026-05-18T15:21:28.382205
42,62.0,0.41421961681900477,0.02817900464437019,2026-05-18T15:21:28.437235
43,72.0,0.4260212798508009,0.0300795933326977,2026-05-18T15:21:28.488550
44,56.00000000000001,0.6325156662260392,0.04459833167137187,2026-05-18T15:21:28.536825
45,66.0,0.7626629631122103,0.061868430713117206,2026-05-18T15:21:28.584320
46,82.0,1.0248016638500939,0.076326417148524,2026-05-18T15:21:28.620226
47,56.00000000000001,0.5826498292923276,0.04214557602563637,2026-05-18T15:21:28.669171
48,72.0,0.9530873999243396,0.06858121364049014,2026-05-18T15:21:28.718371
49,60.0,0.908911605704457,0.07251715509584114,2026-05-18T15:21:28.771420
50,66.0,0.6042064398063179,0.04624297040764381,2026-05-18T15:21:28.818506
51,62.0,0.6415913662651503,0.04932564307657031,2026-05-18T15:21:28.885544
52,56.00000000000001,0.7717566781810189,0.058790097233432294,2026-05-18T15:21:28.935723
53,82.0,1.240754699557623,0.09702584954250014,2026-05-18T15:21:29.007413
54,57.99999999999999,0.531944687290462,0.04039882475153037,2026-05-18T15:21:29.058940
55,74.0,0.5017465966667587,0.037661096800735816,2026-05-18T15:21:29.106953
56,76.0,0.6249965267429372,0.0469445103943309,2026-05-18T15:21:29.151888
57,56.00000000000001,0.7320601763229034,0.05412847771046694,2026-05-18T15:21:29.185305
58,66.0,0.5238376520336152,0.03620925678928109,2026-05-18T15:21:29.251942
59,60.0,0.6767713736650878,0.053049705175365745,2026-05-18T15:21:29.301894
60,60.0,0.6782819484710123,0.052539362239957504,2026-05-18T15:21:29.368602
61,72.0,0.6368743824586476,0.04800402135487383,2026-05-18T15:21:29.418547
62,68.0,0.5530927757392047,0.040476210988398285,2026-05-18T15:21:29.484299
63,72.0,0.5213032329363901,0.03593367619611437,2026-05-18T15:21:29.532601
64,66.0,0.4780800156172681,0.03774020776992707,2026-05-18T15:21:29.568713
65,52.0,0.7945135806989418,0.056549255572851426,2026-05-18T15:21:29.619358
66,66.0,0.6324369076005927,0.046759062692978796,2026-05-18T15:21:29.680553
67,74.0,0.5523047538259817,0.04401989706123656,2026-05-18T15:21:29.718545
68,56.00000000000001,0.8192528096683205,0.061432029040059045,2026-05-18T15:21:29.752043
69,74.0,0.8507711111462161,0.061677411901746984,2026-05-18T15:21:29.802070
70,74.0,0.5017660051514898,0.03633235149743478,2026-05-18T15:21:29.869567
71,52.0,0.9112242383474417,0.06707082321369785,2026-05-18T15:21:29.901937
72,42.0,0.621415647100081,0.04855691780498841,2026-05-18T15:21:29.954914
73,60.0,0.6010283784332504,0.04801567345964184,2026-05-18T15:21:30.003918
74,57.99999999999999,0.5742147996157737,0.04242102349700041,2026-05-18T15:21:30.045918
75,66.0,0.6137117616453686,0.0457814218152161,2026-05-18T15:21:30.088227
76,80.0,0.7047162962941503,0.056397880708384356,2026-05-18T15:21:30.135351
77,46.0,0.576355116582673,0.04699108379950869,2026-05-18T15:21:30.184266
78,64.0,0.9893743368607414,0.07550033731599906,2026-05-18T15:21:30.231025
79,57.99999999999999,0.9006631570497419,0.07195273494480993,2026-05-18T15:21:30.273561
80,68.0,0.9240219763648079,0.07045863865019848,2026-05-18T15:21:30.321600
81,72.0,0.5635740294909546,0.04315770374040496,2026-05-18T15:21:30.369603
82,74.0,0.4815995509535677,0.03665607799956513,2026-05-18T15:21:30.434232
83,68.0,0.553580183245598,0.04350152836803752,2026-05-18T15:21:30.468780
84,72.0,0.6476205010205289,0.0509504264939108,2026-05-18T15:21:30.529005
85,62.0,0.5407902223930316,0.039925092164999565,2026-05-18T15:21:30.580512
86,68.0,0.4770252046978328,0.03373219640256875,2026-05-18T15:21:30.630689
87,74.0,0.9435750234051282,0.0719634631397173,2026-05-18T15:21:30.679420
88,72.0,0.69057769665557,0.05146028453475195,2026-05-18T15:21:30.720677
89,74.0,0.526177712660769,0.03968404166105706,2026-05-18T15:21:30.802943
90,70.0,0.683576592739182,0.050324144895157207,2026-05-18T15:21:30.854339
91,72.0,0.4425974777091801,0.032981611047497916,2026-05-18T15:21:30.918470
92,66.0,0.848924374447057,0.061511704775939126,2026-05-18T15:21:30.985140
93,68.0,0.6589303309919373,0.049808754617017906,2026-05-18T15:21:31.035587
94,68.0,0.5082459690909686,0.03807345076027431,2026-05-18T15:21:31.079613
95,62.0,1.0291090906973208,0.08233198943749248,2026-05-18T15:21:31.135226
96,78.0,0.7860263813216511,0.058599325156229315,2026-05-18T15:21:31.193267
97,60.0,0.6127102362993867,0.050923042895107955,2026-05-18T15:21:31.250984
98,48.0,0.6057193681185352,0.04419272653200794,2026-05-18T15:21:31.301906
99,64.0,0.5843491260191632,0.04238280019386416,2026-05-18T15:21:31.359994
100,72.0,0.9755773892939942,0.0731836226608763,2026-05-18T15:21:31.401845
101,72.0,0.5669415212697528,0.04204097599292027,2026-05-18T15:21:31.453885
102,62.0,0.6483826062169985,0.048323435356833366,2026-05-18T15:21:31.510854
103,70.0,0.8739702442410417,0.0695041281395582,2026-05-18T15:21:31.560687
104,72.0,0.8545771059092406,0.06595749403303416,2026-05-18T15:21:31.624390
105,80.0,0.4913184281419247,0.03538952924443489,2026-05-18T15:21:31.670599
106,70.0,0.6175178231131543,0.04513477111962949,2026-05-18T15:21:31.718570
107,66.0,0.5890176009301017,0.0465551760079026,2026-05-18T15:21:31.774558
108,62.0,0.5505054948966511,0.03951239501282924,2026-05-18T15:21:31.824578
109,70.0,0.6195505920660073,0.04867590912143454,2026-05-18T15:21:31.869348
110,70.0,0.6104129204764897,0.046781978410885564,2026-05-18T15:21:31.907745
111,74.0,0.9916823406234435,0.07506892488203422,2026-05-18T15:21:31.954304
112,70.0,0.6186610665925307,0.04186378996462788,2026-05-18T15:21:32.016151
113,60.0,0.4811387776147649,0.03602944292855982,2026-05-18T15:21:32.063937
114,56.00000000000001,0.6850188491542215,0.05538883341879276,2026-05-18T15:21:32.118732
115,56.00000000000001,0.7319095756585261,0.051818190148079736,2026-05-18T15:21:32.168588
116,76.0,0.6062012507669382,0.04692232740083432,2026-05-18T15:21:32.217593
117,64.0,0.7801745215396033,0.064407696540927,2026-05-18T15:21:32.265903
118,64.0,0.952309605603272,0.0779168805697415,2026-05-18T15:21:32.314026
119,66.0,0.7268911277453362,0.054674191898570694,2026-05-18T15:21:32.353292
120,70.0,0.7926869492897081,0.06375788859223276,2026-05-18T15:21:32.403921
121,72.0,0.5377195104981997,0.04043948542578217,2026-05-18T15:21:32.452258
122,70.0,0.44767431734904084,0.03196731138823825,2026-05-18T15:21:32.503321
123,72.0,0.4196845614292647,0.02861262907322546,2026-05-18T15:21:32.554008
124,64.0,0.6223317375836105,0.045264817837542985,2026-05-18T15:21:32.604596
125,68.0,0.7708893461773123,0.05715288863982289,2026-05-18T15:21:32.651812
126,78.0,1.0246601503496244,0.07708063487115811,2026-05-18T15:21:32.713471
127,56.00000000000001,0.5818702443300731,0.04203044336039815,2026-05-18T15:21:32.761779
128,74.0,0.9081342516102011,0.0697462981672104,2026-05-18T15:21:32.818606
129,66.0,0.8080763444450315,0.06145144969102562,2026-05-18T15:21:32.868769
130,70.0,0.5905207770686275,0.043768140587861486,2026-05-18T15:21:32.918777
131,64.0,0.633339580956834,0.04967341855751422,2026-05-18T15:21:32.968602
132,60.0,0.7032853000585688,0.05032898170365588,2026-05-18T15:21:33.020632
133,78.0,1.3395612796166163,0.10918870122415077,2026-05-18T15:21:33.072600
134,60.0,0.5129226967388612,0.037320695416148186,2026-05-18T15:21:33.118505
135,64.0,0.5633205134741325,0.0422773326788476,2026-05-18T15:21:33.168599
136,70.0,0.7196689727258994,0.05815086664718325,2026-05-18T15:21:33.202093
137,56.00000000000001,0.7310843860430534,0.0531111053176217,2026-05-18T15:21:33.257966
138,66.0,0.5235307333818552,0.03745716317591432,2026-05-18T15:21:33.302249
139,57.99999999999999,0.687455035609915,0.05216152781400288,2026-05-18T15:21:33.361678
140,56.00000000000001,0.6757317549309926,0.05242885864197266,2026-05-18T15:21:33.401863
