run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
473ebfe1,2026-05-18T16:02:27.887179,42,w_o_confidence,action_prior,500,0.24,0.76,3175.2045,0.7845,1.9455,3.5973,3.1053,0.017758,0.07399,0.6989,0.0613,0.1978,0.0793,0.0,0.0,0.138,14.2725,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
dd3810a8,2026-05-18T16:02:28.091830,43,w_o_confidence,action_prior,500,0.662,0.338,7015.5061,0.6107,1.4937,2.7236,2.3546,0.046249,0.069863,0.5271,0.1327,0.0358,0.0612,0.0,1.0,0.1362,58.7313,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
54c5aa6e,2026-05-18T16:02:28.300092,44,w_o_confidence,action_prior,500,0.24,0.76,3174.9678,0.7845,1.9458,3.602,3.1052,0.017787,0.074113,0.6988,0.0613,0.198,0.0793,0.0,0.0,0.1373,14.2708,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
fb0ed4c8,2026-05-18T16:02:28.504150,42,w_o_partial_offloading,action_prior,500,0.24,0.76,3026.8642,0.7844,1.9453,3.5987,3.1049,0.017752,0.073967,0.6988,0.0614,0.1979,0.0793,0.0,0.0,0.1399,14.2736,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
bc372a58,2026-05-18T16:02:28.703673,43,w_o_partial_offloading,action_prior,500,0.24,0.76,3026.9547,0.7844,1.9461,3.6037,3.1044,0.017734,0.073891,0.6985,0.0614,0.1979,0.0793,0.0,0.0,0.1372,14.2697,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
104e69eb,2026-05-18T16:02:28.907100,44,w_o_partial_offloading,action_prior,500,0.24,0.76,3026.6849,0.7845,1.9453,3.6014,3.1051,0.01778,0.074081,0.6988,0.0614,0.198,0.0793,0.0,0.0,0.1355,14.2736,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
fd7f88da,2026-05-18T16:02:29.119540,42,w_o_battery_awareness,action_prior,500,0.662,0.338,6756.4642,0.6108,1.4934,2.7225,2.3555,0.04632,0.06997,0.5274,0.1326,0.0359,0.0612,0.0,1.0,0.1364,58.7331,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
f4abb42c,2026-05-18T16:02:29.313929,43,w_o_battery_awareness,action_prior,500,0.662,0.338,6756.8733,0.6107,1.4935,2.7291,2.3543,0.046244,0.069855,0.527,0.1327,0.0357,0.0612,0.0,1.0,0.1369,58.7327,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
9c5963ce,2026-05-18T16:02:29.518067,44,w_o_battery_awareness,action_prior,500,0.49,0.51,4940.1994,0.6988,1.8229,3.4391,2.9486,0.074874,0.152804,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1371,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
16b0292b,2026-05-18T16:02:29.720513,42,w_o_queue_awareness,action_prior,500,0.49,0.51,4940.2148,0.6988,1.8229,3.4391,2.9486,0.074844,0.152742,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1357,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
cf3e2726,2026-05-18T16:02:29.924321,43,w_o_queue_awareness,action_prior,500,0.49,0.51,4940.3174,0.6988,1.8229,3.4391,2.9486,0.074816,0.152686,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1378,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
f561e002,2026-05-18T16:02:30.127250,44,w_o_queue_awareness,action_prior,500,0.49,0.51,4940.2777,0.6988,1.8229,3.4391,2.9486,0.074845,0.152745,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1362,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
1b1360d7,2026-05-18T16:02:30.345334,42,w_o_mobility_features,action_prior,500,0.662,0.338,6823.0501,0.6107,1.494,2.7252,2.3548,0.046264,0.069886,0.5271,0.1327,0.0357,0.0612,0.0,1.0,0.1375,58.73,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
df5dac3c,2026-05-18T16:02:30.547852,43,w_o_mobility_features,action_prior,500,0.24,0.76,3093.0378,0.7845,1.9462,3.601,3.104,0.017756,0.073982,0.6984,0.0614,0.198,0.0793,0.0,0.0,0.1386,14.2689,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
65f19a2c,2026-05-18T16:02:30.753306,44,w_o_mobility_features,action_prior,500,0.662,0.338,6822.7195,0.6108,1.4934,2.7242,2.3544,0.046305,0.069947,0.527,0.1326,0.0359,0.0612,0.0,1.0,0.1362,58.7332,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
