run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
1fd084d0,2026-05-18T16:02:34.331621,42,w_o_confidence,action_prior,500,0.458,0.542,5034.8619,0.7017,1.8229,3.4391,2.9492,0.074624,0.162934,0.6666,0.0847,0.0882,0.0634,0.0,0.866,0.2532,36.6854,2,0.2199,0.217,0.0,0.0,0.866,0.0,0.134,0.0,0.0,0.0,0.4249,0.0,0.6716,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
3edb7ba7,2026-05-18T16:02:34.617520,43,w_o_confidence,action_prior,500,0.664,0.336,7029.9257,0.6108,1.4939,2.7318,2.3543,0.046323,0.069764,0.5269,0.1326,0.0359,0.0612,0.0,1.0,0.2426,58.9304,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
936b19db,2026-05-18T16:02:34.890571,44,w_o_confidence,action_prior,500,0.662,0.338,7014.8382,0.6109,1.4933,2.7272,2.3557,0.046369,0.070044,0.5274,0.1326,0.036,0.0612,0.0,1.0,0.2465,58.7337,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
a9136fdc,2026-05-18T16:02:35.183405,42,w_o_partial_offloading,action_prior,500,0.242,0.758,3042.1456,0.7843,1.9457,3.6025,3.1023,0.017692,0.073106,0.6979,0.0615,0.1979,0.0793,0.0,0.0,0.2426,14.4713,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
d77b6353,2026-05-18T16:02:35.489600,43,w_o_partial_offloading,action_prior,500,0.21,0.79,1537.4053,1.3195,3.558,6.8182,5.8289,0.131947,0.628321,1.3467,0.0141,0.7846,0.0,0.0,0.0,0.2686,3.2098,1,-0.0,0.1667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
ec9bc97b,2026-05-18T16:02:35.819013,44,w_o_partial_offloading,action_prior,500,0.242,0.758,3042.1347,0.7843,1.9466,3.6051,3.104,0.017702,0.073151,0.6984,0.0614,0.1978,0.0793,0.0,0.0,0.2879,14.4668,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
e696c461,2026-05-18T16:02:36.090852,42,w_o_battery_awareness,action_prior,500,0.664,0.336,6771.6297,0.6107,1.4941,2.7245,2.3539,0.046276,0.069693,0.5269,0.1327,0.0358,0.0612,0.0,1.0,0.2427,58.9297,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
cfa7cc28,2026-05-18T16:02:36.399025,43,w_o_battery_awareness,action_prior,500,0.49,0.51,4940.2921,0.6988,1.8229,3.4391,2.9486,0.074813,0.152679,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.2608,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
0aa8333e,2026-05-18T16:02:36.735427,44,w_o_battery_awareness,action_prior,500,0.49,0.51,4940.2645,0.6988,1.8229,3.4391,2.9486,0.074818,0.15269,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.3007,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
68da538d,2026-05-18T16:02:37.069322,42,w_o_queue_awareness,action_prior,500,0.664,0.336,6774.6213,0.6108,1.4942,2.7318,2.3551,0.046302,0.069732,0.5272,0.1326,0.0358,0.0612,0.0,1.0,0.297,58.9288,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
e18a40fa,2026-05-18T16:02:37.343191,43,w_o_queue_awareness,action_prior,500,0.662,0.338,6756.4011,0.6108,1.494,2.7299,2.3551,0.046311,0.069956,0.5272,0.1326,0.0358,0.0612,0.0,1.0,0.2305,58.7301,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
4ee96654,2026-05-18T16:02:37.637000,44,w_o_queue_awareness,action_prior,500,0.66,0.34,6738.4157,0.6108,1.4937,2.7304,2.3547,0.046291,0.070139,0.5271,0.1326,0.0357,0.0612,0.0,1.0,0.2548,58.5313,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
0d493379,2026-05-18T16:02:37.955856,42,w_o_mobility_features,action_prior,500,0.618,0.382,6471.3047,0.6228,1.5045,2.7229,2.3573,0.050565,0.08182,0.5253,0.1238,0.0442,0.0612,0.0,1.0,0.2783,54.2777,2,0.3786,0.3238,0.0,0.0,0.414,0.586,0.0,0.0,0.0,0.0,0.715,0.5495,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
c0dabbe7,2026-05-18T16:02:38.281000,43,w_o_mobility_features,action_prior,500,0.664,0.336,6841.0815,0.6107,1.4938,2.725,2.3524,0.046251,0.069655,0.5264,0.1328,0.0359,0.0612,0.0,1.0,0.2854,58.9309,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
1a9312a4,2026-05-18T16:02:38.595739,44,w_o_mobility_features,action_prior,500,0.666,0.334,6856.2778,0.6107,1.4933,2.7305,2.3539,0.046243,0.069433,0.5269,0.1327,0.0357,0.0612,0.0,1.0,0.2885,59.1336,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
