task_id,action,action_name,success,delay_s,energy_j,deadline_window_s,deadline_tightness,cpu_cycles,data_size_kb,priority,queue_delay_s
752,5,cloud,False,0.36081103389664615,0.0014055169483230782,0.11999999999534339,3.0067586159220623,40000000,106,0,0.0
753,0,local,False,1.486384117,0.14863841169999997,0.6730209527595434,2.2085257686339146,1486384117,2271,3,0.0
753,1,edge_25,False,1.14478808775,0.11855056314500828,0.6730209527595434,1.7009694617323592,1486384117,2271,3,0.0
753,2,edge_50,False,0.7731920585000001,0.0885001863629991,0.6730209527595434,1.1488380195738805,1486384117,2271,3,0.0
753,3,edge_75,True,0.6320802837255288,0.05950272285026439,0.6730209527595434,0.9391688046766623,1486384117,2271,3,0.0
753,4,edge_100,False,0.810919694911926,0.02861381820596297,0.6730209527595434,1.2048951694400678,1486384117,2271,3,0.0
753,5,cloud,False,0.7046025438216241,0.028662860210812047,0.6730209527595434,1.0469251231073695,1486384117,2271,3,0.0
754,0,local,False,3.219909021,0.3219909021,1.1623055039090104,2.7702777025239538,3219909021,2662,3,0.0
754,1,edge_25,False,2.44493176575,0.2478969526195688,1.1623055039090104,2.103519046866183,3219909021,2662,3,0.0
754,2,edge_50,False,1.6399545105,0.17390834513100897,1.1623055039090104,1.4109496212351944,3219909021,2662,3,0.0
754,3,edge_75,False,1.276437879252473,0.09998372371373655,1.1623055039090104,1.098194816216234,3219909021,2662,3,0.0
754,4,edge_100,False,1.6725777764331209,0.026061632966560454,1.1623055039090104,1.4390173416610237,3219909021,2662,3,0.0
754,5,cloud,True,1.0454614863499976,0.025739841074998764,1.1623055039090104,0.8994721980012582,3219909021,2662,3,0.0
755,0,local,False,1.061160789,0.1061160789,0.6186733829090372,1.7152197238716853,1061160789,1031,1,0.0
755,1,edge_25,False,0.8227624957499999,0.08271910375954143,0.6186733829090372,1.3298818382671067,1061160789,1031,1,0.0
755,2,edge_50,True,0.5574722985,0.05936846688876024,0.6186733829090372,0.9010769072991855,1061160789,1031,1,0.0
755,3,edge_75,True,0.44276169298584644,0.035496266280423225,0.6186733829090372,0.7156630707207023,1061160789,1031,1,0.0
755,4,edge_100,True,0.5649225584275286,0.01246499876376427,0.6186733829090372,0.913119222571417,1061160789,1031,1,0.0
755,5,cloud,True,0.5873463631225208,0.012557102661260392,0.6186733829090372,0.9493642030642808,1061160789,1031,1,0.0
756,0,local,False,1.528618323,0.15286183229999997,0.6064822943590116,2.520466528401443,1528618323,2271,3,0.0
756,1,edge_25,False,1.17646374225,0.1200933086264602,0.6064822943590116,1.9398154788564754,1528618323,2271,3,0.0
756,2,edge_50,False,0.7943091615,0.08715409913646671,0.6064822943590116,1.3096988467561148,1528618323,2271,3,0.0
756,3,edge_75,False,0.6360957123998835,0.054647378712441755,0.6064822943590116,1.0488281658282708,1528618323,2271,3,0.0
756,4,edge_100,False,0.8190399934656448,0.022115415982822455,0.6064822943590116,1.3504763470981203,1528618323,2271,3,0.0
756,5,cloud,False,0.6995112873357522,0.0218938113678761,0.6064822943590116,1.153391111071202,1528618323,2271,3,0.0
757,0,local,False,1.137588525,0.1137588525,0.7460781228146516,1.5247579177209187,1137588525,1031,0,0.0
757,1,edge_25,False,0.8966208678631755,0.08712154899719551,0.7460781228146516,1.2017787956046573,1137588525,1031,0,0.0
757,2,edge_50,True,0.6122237366131755,0.06052903541486628,0.7460781228146516,0.8205893161744275,1137588525,1031,0,0.0
757,3,edge_75,True,0.48083522037848925,0.033844737820156866,0.7460781228146516,0.644483741949827,1137588525,1031,0,0.0
757,4,edge_100,True,0.5984698476794239,0.0072376346199062485,0.7460781228146516,0.8021543982842424,1137588525,1031,0,0.0
757,5,cloud,True,0.5923091823706287,0.007395738685314333,0.7460781228146516,0.793896998528901,1137588525,1031,0,0.0
758,0,local,False,1.47824548,0.147824548,0.6793835213466082,2.175863019270713,1478245480,2271,3,0.0
758,1,edge_25,False,1.13868411,0.11755007321747281,0.6793835213466082,1.6760549442574213,1478245480,2271,3,0.0
758,2,edge_50,False,0.76912274,0.08720182139600488,0.6793835213466082,1.1320891894397431,1478245480,2271,3,0.0
758,3,edge_75,True,0.6242181071561597,0.05689416307807982,0.6793835213466082,0.9188007767967274,1478245480,2271,3,0.0
758,4,edge_100,False,0.8006034240084126,0.025490342004206325,0.6793835213466082,1.178426321588628,1478245480,2271,3,0.0
758,5,cloud,False,0.6983744731447621,0.026362688572381044,0.6793835213466082,1.0279532122894472,1478245480,2271,3,0.0
759,0,local,False,1.092477064,0.10924770639999999,0.49570029266760685,2.2039064333023575,1092477064,646,2,0.0
759,1,edge_25,False,0.854286670888972,0.08310605288701918,0.49570029266760685,1.7233935172634975,1092477064,646,2,0.0
759,2,edge_50,False,0.5811674048889721,0.056944302105520685,0.49570029266760685,1.1724169089379084,1092477064,646,2,0.0
759,3,edge_75,True,0.45161495380176975,0.030815517556398844,0.49570029266760685,0.9110645292771723,1092477064,646,2,0.0
759,4,edge_100,False,0.5678172877804506,0.0046768251346551515,0.49570029266760685,1.1454850767280098,1092477064,646,2,0.0
759,5,cloud,False,0.577935979686617,0.004720283443308527,0.49570029266760685,1.1658979997297552,1092477064,646,2,0.0
760,0,local,True,0.081717239,0.008171723899999999,0.11999999999534339,0.680976991693092,81717239,106,0,0.0
760,1,edge_25,True,0.07302463325,0.006461861120811706,0.11999999999534339,0.608538610440281,81717239,106,0,0.0
760,2,edge_50,True,0.0525953235,0.004771439364942424,0.11999999999534339,0.43829436251700804,81717239,106,0,0.0
760,3,edge_75,True,0.044392496549384416,0.0030488449371922064,0.11999999999534339,0.3699374712592256,81717239,106,0,0.0
760,4,edge_100,True,0.04773948795670199,0.0013865110283509978,0.11999999999534339,0.3978290663212877,81717239,106,0,0.0
760,5,cloud,False,0.36914557887498994,0.0014010655374949621,0.11999999999534339,3.0762131574109555,81717239,106,0,0.0
761,0,local,False,4.301808162,0.4301808162,1.714084878884023,2.5096821137590033,4301808162,2893,3,0.0
761,1,edge_25,False,3.2563561214999996,0.3309933705533226,1.714084878884023,1.8997636357541945,4301808162,2893,3,0.0
761,2,edge_50,False,2.180904081,0.23159328198135787,1.714084878884023,1.2723431073144438,4301808162,2893,3,0.0
761,3,edge_75,True,1.6936619242178155,0.13278713578390774,1.714084878884023,0.9880852139133832,4301808162,2893,3,0.0
761,4,edge_100,False,2.2282195206737416,0.03340771983687065,1.714084878884023,1.2999470143651535,4301808162,2893,3,0.0
761,5,cloud,True,1.2772221004336575,0.03343023401682876,1.714084878884023,0.745133520613757,4301808162,2893,3,0.0
762,0,local,False,1.49033982,0.14903398199999998,0.7327766660309862,2.03382543288705,1490339820,1755,3,0.0
762,1,edge_25,False,1.1642924351131756,0.11490907033649614,0.7327766660309862,1.5888776063509946,1490339820,1755,3,0.0
762,2,edge_50,False,0.7917074801131756,0.08077136514756861,0.7327766660309862,1.0804212481292321,1490339820,1755,3,0.0
762,3,edge_75,True,0.6242928048463781,0.0466973966166013,0.7327766660309862,0.8519550823415264,1490339820,1755,3,0.0
762,4,edge_100,False,0.7866245540190547,0.012583247239721625,0.7327766660309862,1.0734847198120137,1490339820,1755,3,0.0
762,5,cloud,True,0.673030385986467,0.012481210993233514,0.7327766660309862,0.9184659080806583,1490339820,1755,3,0.0
763,0,local,True,0.04,0.003999999999999999,0.11999999999534339,0.33333333334626836,40000000,49,0,0.0
763,1,edge_25,True,0.040802816,0.003126769681759824,0.11999999999534339,0.34002346667986133,40000000,49,0,0.0
763,2,edge_50,True,0.030802816,0.0022460122975545816,0.11999999999534339,0.2566901333432942,40000000,49,0,0.0
763,3,edge_75,True,0.026556167141551616,0.0013766755707758085,0.11999999999534339,0.2213013928548511,40000000,49,0,0.0
763,4,edge_100,True,0.024797103544438866,0.0005080589722194331,0.11999999999534339,0.20664252954500933,40000000,49,0,0.0
763,5,cloud,False,0.3589717959371635,0.0004858979685817581,0.11999999999534339,2.9914316329257784,40000000,49,0,0.0
764,0,local,False,1.309793334,0.13097933339999998,0.6563305250601843,1.9956306830006032,1309793334,2893,3,0.0
764,1,edge_25,False,1.0296301175659794,0.10336464592928063,0.6563305250601843,1.5687676837391713,1309793334,2893,3,0.0
764,2,edge_50,False,0.7021817840659796,0.07545882789311215,0.6563305250601843,1.0698600129890208,1309793334,2893,3,0.0
764,3,edge_75,True,0.5692041668477794,0.048118108115899894,0.6563305250601843,0.8672523143664306,1309793334,2893,3,0.0
764,4,edge_100,False,0.7124065023510066,0.020480022188956816,0.6563305250601843,1.085438624518767,1309793334,2893,3,0.0
764,5,cloud,True,0.6525188655510312,0.02028009937551558,0.6563305250601843,0.994192469550607,1309793334,2893,3,0.0
765,0,local,False,1.622384249,0.16223842489999998,0.9640229079232085,1.6829312204780456,1622384249,2662,3,0.0
765,1,edge_25,False,1.24678818675,0.12902402079107927,0.9640229079232085,1.2933180078012376,1622384249,2662,3,0.0
765,2,edge_50,True,0.8411921245,0.09583353767159127,0.9640229079232085,0.8725852026817262,1622384249,2662,3,0.0
765,3,edge_75,True,0.6830427581005649,0.06288393858778249,0.9640229079232085,0.7085337417676534,1622384249,2662,3,0.0
765,4,edge_100,True,0.881320994261486,0.02981443488074303,0.9640229079232085,0.9142116717538518,1622384249,2662,3,0.0
765,5,cloud,True,0.7346134510813447,0.03006830064067238,0.9640229079232085,0.7620290400193084,1622384249,2662,3,0.0
766,0,local,False,0.66902041,0.066902041,0.47350434635882266,1.4129129228583994,669020410,1031,1,0.0
766,1,edge_25,False,0.5286572115,0.052642771646468696,0.47350434635882266,1.116478054668969,669020410,1031,1,0.0
766,2,edge_50,True,0.361402109,0.03850021324109404,0.47350434635882266,0.7632498239543691,669020410,1031,1,0.0
766,3,edge_75,True,0.2924842033603084,0.02408033305515417,0.47350434635882266,0.6177012008642963,669020410,1031,1,0.0
766,4,edge_100,True,0.3639972588041678,0.010037443702083903,0.47350434635882266,0.7687305546469679,669020410,1031,1,0.0
766,5,cloud,False,0.5039924272281779,0.010094172614088983,0.47350434635882266,1.0643881753225795,669020410,1031,1,0.0
767,0,local,True,0.083741132,0.0083741132,0.11999999999534339,0.6978427666937465,83741132,106,0,0.0
767,1,edge_25,True,0.09378579510049881,0.006460163857692871,0.11999999999534339,0.7815482925344848,83741132,106,0,0.0
767,2,edge_50,True,0.07285051210049881,0.004543083022177715,0.11999999999534339,0.6070876008610482,83741132,106,0,0.0
767,3,edge_75,True,0.06344937632966516,0.00262678116458318,0.11999999999534339,0.5287448027677276,83741132,106,0,0.0
767,4,edge_100,True,0.05416250747681538,0.0007244801708203986,0.11999999999534339,0.4513542289909763,83741132,106,0,0.0
767,5,cloud,False,0.36819531551125706,0.0007235445556285329,0.11999999999534339,3.068294296046208,83741132,106,0,0.0
768,0,local,True,0.082682576,0.008268257599999999,0.11999999999534339,0.6890214666934041,82682576,106,0,0.0
768,1,edge_25,True,0.073748636,0.00647272178993964,0.11999999999534339,0.6145719666905153,82682576,106,0,0.0
768,2,edge_50,True,0.053077992,0.004671778950491858,0.11999999999534339,0.4423166000171641,82682576,106,0,0.0
768,3,edge_75,True,0.04432625926244061,0.0028588590312203063,0.11999999999534339,0.3693854938680058,82682576,106,0,0.0
768,4,edge_100,True,0.04759136397182803,0.0010711147859140205,0.11999999999534339,0.3965946997806235,82682576,106,0,0.0
