episode,success_rate,avg_delay,avg_energy,timestamp
0,54.0,1.426627869126427,0.123093403849081,2026-05-18T15:21:02.452124
1,18.0,0.8234300788370696,0.06403246839651279,2026-05-18T15:21:02.477494
2,40.0,0.6641343353712165,0.05179568101504943,2026-05-18T15:21:02.485042
3,32.0,0.7688030158687968,0.06115546909271206,2026-05-18T15:21:02.505717
4,42.0,0.9012914098148543,0.06823067737263058,2026-05-18T15:21:02.519717
5,40.0,0.7861142615808911,0.06421589500295286,2026-05-18T15:21:02.533780
6,36.0,0.6222102303473931,0.04105715051481928,2026-05-18T15:21:02.546782
7,40.0,1.3967141932331046,0.11162605863921525,2026-05-18T15:21:02.560818
8,34.0,0.9674860598609041,0.0707042647377931,2026-05-18T15:21:02.568448
9,46.0,0.8012755558819863,0.06580368973775111,2026-05-18T15:21:02.585090
10,48.0,0.8733303054288558,0.06780333400752372,2026-05-18T15:21:02.601755
11,30.0,0.6053724524551306,0.0438822131502489,2026-05-18T15:21:02.618384
12,34.0,1.0983473956853333,0.07644218728348755,2026-05-18T15:21:02.618384
13,40.0,0.950574419100039,0.06581862343741302,2026-05-18T15:21:02.635897
14,28.000000000000004,0.7109831018320252,0.05403880097609396,2026-05-18T15:21:02.659825
15,42.0,1.4243228179847138,0.11984188802591732,2026-05-18T15:21:02.672825
16,42.0,1.099125292862646,0.08987692821869533,2026-05-18T15:21:02.684847
17,30.0,0.8855333638750561,0.06875149199793157,2026-05-18T15:21:02.700474
18,30.0,0.7761548891108572,0.05388279375331139,2026-05-18T15:21:02.701462
19,28.000000000000004,0.897653773546355,0.06623106106266746,2026-05-18T15:21:02.718195
20,24.0,1.5423374790251339,0.10418572087148681,2026-05-18T15:21:02.763282
21,12.0,0.9239415532965372,0.03388973801991438,2026-05-18T15:21:02.817569
22,34.0,0.8336208426184766,0.07991198176593504,2026-05-18T15:21:02.863940
23,34.0,1.1013843220252593,0.11331894087679008,2026-05-18T15:21:02.901717
24,54.0,1.0378706377491966,0.10533498131185055,2026-05-18T15:21:02.955207
25,68.0,0.5624942820409572,0.05734722650470911,2026-05-18T15:21:03.038165
26,64.0,0.7118939902614565,0.07335513751119557,2026-05-18T15:21:03.081288
27,50.0,0.650416247696309,0.06927101671158836,2026-05-18T15:21:03.135046
28,48.0,0.6305630237556812,0.06390975411563576,2026-05-18T15:21:03.185110
29,46.0,0.7387891841448451,0.07907600677718374,2026-05-18T15:21:03.235152
30,42.0,0.6796776896906372,0.07230183192162784,2026-05-18T15:21:03.307909
31,64.0,1.2146795254125855,0.1278982007664986,2026-05-18T15:21:03.351845
32,60.0,0.6823892269629424,0.06939341881747224,2026-05-18T15:21:03.413963
33,50.0,0.5276910725590556,0.05694635235636393,2026-05-18T15:21:03.468356
34,36.0,0.8102618386228451,0.08852741216651486,2026-05-18T15:21:03.535188
35,32.0,0.8443124332979655,0.08460145481349414,2026-05-18T15:21:03.601650
36,57.99999999999999,0.7144877201030028,0.07659823612582267,2026-05-18T15:21:03.688151
37,68.0,0.9011914412943257,0.09956641950370657,2026-05-18T15:21:03.732212
38,50.0,1.1256899377692844,0.11674676346857878,2026-05-18T15:21:03.780512
39,54.0,0.8772985397151787,0.08976763831206798,2026-05-18T15:21:03.818577
40,54.0,0.9046111825707415,0.09921793756418266,2026-05-18T15:21:03.885472
41,60.0,0.6089275716578594,0.06282361556851972,2026-05-18T15:21:03.951932
42,46.0,0.452084509728719,0.04473599815794171,2026-05-18T15:21:03.985509
43,52.0,0.4614824665249296,0.0476444359882446,2026-05-18T15:21:04.032870
44,50.0,0.7259527879516575,0.07428450671787434,2026-05-18T15:21:04.070507
45,46.0,0.922532357150412,0.09855610485864728,2026-05-18T15:21:04.118601
46,62.0,1.231438764022669,0.12908172194930334,2026-05-18T15:21:04.169501
47,36.0,0.6721458408478341,0.06846309789533547,2026-05-18T15:21:04.234186
48,57.99999999999999,1.0902004196978856,0.11622618718763116,2026-05-18T15:21:04.285439
49,57.99999999999999,0.950977139805791,0.10162831510192406,2026-05-18T15:21:04.342646
50,52.0,0.7561718441147667,0.07851887703928287,2026-05-18T15:21:04.393329
51,42.0,0.7293710510728921,0.07882889303886444,2026-05-18T15:21:04.438189
52,44.0,0.8123980951096166,0.08379596805308452,2026-05-18T15:21:04.492280
53,72.0,1.5116177347214756,0.16141572182050054,2026-05-18T15:21:04.550611
54,42.0,0.5644973297655457,0.05766925163015497,2026-05-18T15:21:04.596194
55,64.0,0.5574178657009928,0.05972884917334938,2026-05-18T15:21:04.636166
56,70.0,0.6990864057406628,0.07027886018887174,2026-05-18T15:21:04.686643
57,52.0,0.8745543979585051,0.09073939532541443,2026-05-18T15:21:04.735004
58,56.00000000000001,0.5717338678131632,0.05834647067760439,2026-05-18T15:21:04.785161
59,46.0,0.7777102189300035,0.08382511711269251,2026-05-18T15:21:04.839660
60,40.0,0.7572097342225379,0.08186248610074948,2026-05-18T15:21:04.901807
61,56.00000000000001,0.7728328368529245,0.08014534311359625,2026-05-18T15:21:04.968404
62,50.0,0.6231449382860896,0.06515917530091855,2026-05-18T15:21:05.002071
63,56.00000000000001,0.5820292432775294,0.061459242117522093,2026-05-18T15:21:05.068537
64,54.0,0.5350098034947354,0.057755209573994354,2026-05-18T15:21:05.101856
65,42.0,0.9288697527537731,0.09656412032257779,2026-05-18T15:21:05.151848
66,54.0,0.7194976821653931,0.07579346695712791,2026-05-18T15:21:05.195241
67,57.99999999999999,0.6254601643014829,0.06780340724771779,2026-05-18T15:21:05.235101
68,36.0,0.8883850769140398,0.0938109695575075,2026-05-18T15:21:05.294862
69,48.0,1.010647607419775,0.10521406359561584,2026-05-18T15:21:05.340815
70,52.0,0.550091780691757,0.05563504643949755,2026-05-18T15:21:05.398038
71,46.0,1.0824130227403728,0.1169743512583818,2026-05-18T15:21:05.435120
72,30.0,0.7157696745427918,0.07593153404164805,2026-05-18T15:21:05.485092
73,44.0,0.6656870519944154,0.07357085301380369,2026-05-18T15:21:05.533565
74,48.0,0.6612062389207327,0.0703464340226134,2026-05-18T15:21:05.587631
75,52.0,0.7097621997040118,0.07593422780068412,2026-05-18T15:21:05.641898
76,60.0,0.8026598961249178,0.0873494547061538,2026-05-18T15:21:05.688201
77,42.0,0.6001152240002966,0.0667274745987321,2026-05-18T15:21:05.732545
78,46.0,1.1811607244120133,0.12168196675928006,2026-05-18T15:21:05.768882
79,46.0,1.0959631838049022,0.11737829667179948,2026-05-18T15:21:05.818549
80,62.0,1.0701368993025264,0.10830478726396979,2026-05-18T15:21:05.867505
81,48.0,0.6143824439857909,0.06520680663632175,2026-05-18T15:21:05.901985
82,56.00000000000001,0.5524584702970308,0.05824800170025399,2026-05-18T15:21:05.954918
83,44.0,0.6120661197341314,0.06535798504073072,2026-05-18T15:21:06.011866
84,56.00000000000001,0.745262677953152,0.07952660565106996,2026-05-18T15:21:06.063031
85,52.0,0.6075559893719099,0.06379367338705937,2026-05-18T15:21:06.102879
86,50.0,0.5736316261361203,0.0563493570584265,2026-05-18T15:21:06.150192
87,74.0,1.1658719122185146,0.12155862130094128,2026-05-18T15:21:06.187225
88,46.0,0.8061336185596356,0.08560084364680969,2026-05-18T15:21:06.237239
89,62.0,0.5955409091711594,0.06159892020478904,2026-05-18T15:21:06.286197
90,57.99999999999999,0.8381664563593056,0.08750368939715679,2026-05-18T15:21:06.318597
91,50.0,0.45135645910430694,0.046435084922181485,2026-05-18T15:21:06.368738
92,46.0,0.9978445351739922,0.09572877930694873,2026-05-18T15:21:06.420490
93,50.0,0.7656571788228625,0.07574549349104244,2026-05-18T15:21:06.455665
94,48.0,0.609778727346471,0.06411885358967115,2026-05-18T15:21:06.521552
95,48.0,1.2327296314245713,0.13333332927626904,2026-05-18T15:21:06.568764
96,62.0,0.9615828809155764,0.10079811859286897,2026-05-18T15:21:06.619897
97,46.0,0.6854559092096782,0.07569780509158701,2026-05-18T15:21:06.676082
98,34.0,0.6820233449021785,0.06357896142514147,2026-05-18T15:21:06.718529
99,52.0,0.6451913129535618,0.0683408161881807,2026-05-18T15:21:06.768661
100,68.0,1.1858601045948836,0.12451371913568879,2026-05-18T15:21:06.835047
101,48.0,0.6652366399040537,0.06387380400701982,2026-05-18T15:21:06.887305
102,48.0,0.7435352621560557,0.07899525506535846,2026-05-18T15:21:06.929357
103,50.0,1.1044584407924811,0.1179259381845989,2026-05-18T15:21:06.985457
104,66.0,0.9952056972944918,0.0987249834814418,2026-05-18T15:21:07.030808
105,70.0,0.5524350217526017,0.055604279829490615,2026-05-18T15:21:07.068629
106,64.0,0.7115277597168741,0.0734203450104907,2026-05-18T15:21:07.118519
107,46.0,0.7112112716988179,0.07585574126896881,2026-05-18T15:21:07.168465
108,46.0,0.6263721498052379,0.06432323954825481,2026-05-18T15:21:07.218366
109,46.0,0.7346212270690954,0.07748555747436313,2026-05-18T15:21:07.269894
110,44.0,0.6714550022956306,0.07143352530523779,2026-05-18T15:21:07.318460
111,60.0,1.2007214856997144,0.1268561985009511,2026-05-18T15:21:07.364933
112,60.0,0.7072029550239258,0.06957981186002658,2026-05-18T15:21:07.401759
113,52.0,0.5347779186213721,0.05726809950135788,2026-05-18T15:21:07.468408
114,44.0,0.7769117323109397,0.08346659247708946,2026-05-18T15:21:07.551015
115,32.0,0.8449019006754993,0.08828720772636948,2026-05-18T15:21:07.601627
116,60.0,0.6923689975556742,0.07289184255472908,2026-05-18T15:21:07.651665
117,68.0,0.9009109368334687,0.10001781125623116,2026-05-18T15:21:07.720509
118,54.0,1.1231610828513565,0.1243234063991487,2026-05-18T15:21:07.776527
119,50.0,0.906903250111116,0.09174585663432015,2026-05-18T15:21:07.818895
120,52.0,0.9119683877280241,0.09979694893937024,2026-05-18T15:21:07.860848
121,60.0,0.6125838234219028,0.06516312180067418,2026-05-18T15:21:07.901939
122,48.0,0.4534371449029119,0.04648951877045659,2026-05-18T15:21:07.954253
123,46.0,0.4753563985794789,0.04781571982091979,2026-05-18T15:21:08.001960
124,46.0,0.7302651782581183,0.06959746306749001,2026-05-18T15:21:08.054881
125,50.0,0.9131928656521073,0.09984782511359218,2026-05-18T15:21:08.114843
126,62.0,1.2358044959200314,0.12493149140797614,2026-05-18T15:21:08.152860
127,36.0,0.6542248551473966,0.0679308661047763,2026-05-18T15:21:08.201997
128,56.00000000000001,1.1256937064988926,0.11954664699598042,2026-05-18T15:21:08.253919
129,57.99999999999999,0.950977498891352,0.10165053694263042,2026-05-18T15:21:08.306562
130,54.0,0.681963493632066,0.06776103805758148,2026-05-18T15:21:08.352916
131,40.0,0.7358730643572577,0.0756618449693428,2026-05-18T15:21:08.402028
132,42.0,0.8163730749686324,0.08431801707356339,2026-05-18T15:21:08.451169
133,70.0,1.5911602734409271,0.17019604367108504,2026-05-18T15:21:08.495235
134,40.0,0.5712611405773027,0.05941233357780406,2026-05-18T15:21:08.541504
135,57.99999999999999,0.5766986319671537,0.06116870753361886,2026-05-18T15:21:08.586202
136,70.0,0.730058941486305,0.07694704441848707,2026-05-18T15:21:08.635849
137,54.0,0.8671521616973524,0.08944775271670859,2026-05-18T15:21:08.684315
138,56.00000000000001,0.5703268769327523,0.05840159681585723,2026-05-18T15:21:08.735882
139,50.0,0.7623585638091798,0.0822148142389639,2026-05-18T15:21:08.786999
140,40.0,0.768317747579879,0.08125433725981294,2026-05-18T15:21:08.830631
141,54.0,0.7567883441665171,0.07820946960243322,2026-05-18T15:21:08.874741
142,48.0,0.6235488532881601,0.06522189292833606,2026-05-18T15:21:08.921582
143,60.0,0.576514958659132,0.06111358034890996,2026-05-18T15:21:08.954707
144,54.0,0.5302136529589799,0.05711454602723775,2026-05-18T15:21:09.001776
145,46.0,0.9536153414982901,0.09858063026273492,2026-05-18T15:21:09.057824
146,50.0,0.7298495120961117,0.07334588241719386,2026-05-18T15:21:09.101856
147,57.99999999999999,0.6182141528205282,0.06743895532888526,2026-05-18T15:21:09.158365
148,38.0,0.9195982355819341,0.09550754742694746,2026-05-18T15:21:09.201822
149,50.0,1.0093042835255015,0.10461764577579577,2026-05-18T15:21:09.254779
150,52.0,0.5577886152588185,0.056107474006949085,2026-05-18T15:21:09.300335
151,46.0,1.068560600543998,0.11072626320298275,2026-05-18T15:21:09.335195
152,28.000000000000004,0.7092945304901511,0.07327025783317703,2026-05-18T15:21:09.389750
153,50.0,0.6638196173720403,0.07221386850979744,2026-05-18T15:21:09.435129
154,50.0,0.6558490187119029,0.06992439277071764,2026-05-18T15:21:09.485138
155,50.0,0.709767589840068,0.07427308500600305,2026-05-18T15:21:09.535277
156,62.0,0.8081951831241565,0.08631138260903486,2026-05-18T15:21:09.585147
157,42.0,0.6133416798933963,0.0669004671424157,2026-05-18T15:21:09.652858
158,44.0,1.1812567185360419,0.1268094040147309,2026-05-18T15:21:09.704735
159,44.0,1.168828508794001,0.12373010613139858,2026-05-18T15:21:09.751734
160,64.0,1.1088768092927577,0.11688727720262108,2026-05-18T15:21:09.806488
161,44.0,0.6213780645588003,0.0632222405373967,2026-05-18T15:21:09.851976
162,60.0,0.548469523409208,0.05862771145800292,2026-05-18T15:21:09.901835
163,46.0,0.6126071542866786,0.06569511153484486,2026-05-18T15:21:09.935322
164,57.99999999999999,0.7399896058865782,0.07905658546331457,2026-05-18T15:21:09.992588
165,54.0,0.6024756384048788,0.06440957801099491,2026-05-18T15:21:10.036448
166,50.0,0.5233940217088078,0.05335999214286722,2026-05-18T15:21:10.085242
167,66.0,1.140742647871635,0.12036566942979152,2026-05-18T15:21:10.136206
168,48.0,0.7948251599773023,0.07907220137940361,2026-05-18T15:21:10.184220
169,62.0,0.5946836501496168,0.06312827810778462,2026-05-18T15:21:10.218700
170,64.0,0.7881321734107387,0.08235933736383533,2026-05-18T15:21:10.275289
171,50.0,0.4569124010655861,0.04653187852137048,2026-05-18T15:21:10.325346
172,44.0,1.0083365052836266,0.10638324631081163,2026-05-18T15:21:10.370573
173,50.0,0.779091716995017,0.08288810451834036,2026-05-18T15:21:10.425984
174,50.0,0.5593940180455201,0.05801834656038726,2026-05-18T15:21:10.471090
175,48.0,1.2362049394073547,0.13296568811184267,2026-05-18T15:21:10.520534
176,62.0,0.9393009566590176,0.09901104936969495,2026-05-18T15:21:10.570528
177,44.0,0.6918155167331841,0.0771836332917086,2026-05-18T15:21:10.618585
178,36.0,0.687272385813277,0.07376773962061513,2026-05-18T15:21:10.677888
179,54.0,0.6328953389355286,0.06756058890038498,2026-05-18T15:21:10.718315
180,66.0,1.2596000567313783,0.1304491042198649,2026-05-18T15:21:10.766672
181,50.0,0.6472868513676603,0.06831259275112268,2026-05-18T15:21:10.817351
182,48.0,0.745928367184556,0.07826381433857177,2026-05-18T15:21:10.876042
183,48.0,1.0414857341908628,0.1118690547895983,2026-05-18T15:21:10.924051
184,64.0,1.015008992544348,0.10664088125304284,2026-05-18T15:21:10.976627
185,70.0,0.5584527802110696,0.05696770767846883,2026-05-18T15:21:11.019463
186,66.0,0.7146948422356502,0.07402074120214389,2026-05-18T15:21:11.061209
187,52.0,0.6662111113616871,0.07055734155267522,2026-05-18T15:21:11.102936
188,46.0,0.624887820469451,0.06487184133434949,2026-05-18T15:21:11.135096
189,42.0,0.7135613133219979,0.07640219476050315,2026-05-18T15:21:11.205261
190,46.0,0.6621502247300924,0.06855802109428909,2026-05-18T15:21:11.268433
191,64.0,1.2236311871684638,0.12857743167966879,2026-05-18T15:21:11.314191
192,62.0,0.6862680269718002,0.07026612762516556,2026-05-18T15:21:11.376925
193,50.0,0.5259786161311274,0.05564178218322267,2026-05-18T15:21:11.435175
194,40.0,0.7762101376811569,0.08324378607461293,2026-05-18T15:21:11.485176
